id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur,projected_pilot_Y,measured_pilot_Y,cumulative_best_projected_pilot_Y,cumulative_best_T,cumulative_best_pH,cumulative_best_F1,cumulative_best_F2,cumulative_best_F3,best_projected_pilot_Y,best_T,best_pH,best_F1,best_F2,best_F3
519132,2026-07-11T11:01:42.699696+00:00,micro,60.0,9.5,2.0,2.0,0.0,0.126398308845653,10,1.2694067932375082,1.1632397635423717,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
519134,2026-07-11T11:01:42.852266+00:00,micro,60.0,9.5,2.0,2.0,2.0,0.1960917107487666,10,1.9693313304215896,1.9632645589363644,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
520045,2026-07-11T11:12:36.400963+00:00,micro,30.47955519109985,5.91333846909478,1.7763569802698091,1.1400698458448693,1.9970099130096048,0.2203057052311073,10,2.2125102888112367,1.9592294774659909,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
520122,2026-07-11T11:13:39.399081+00:00,micro,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,0.2580032093286493,10,2.591102915773938,3.7685108001603926,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520123,2026-07-11T11:13:42.848852+00:00,micro,30.90902814107728,5.843530993779657,1.975168469365389,1.22969629812982,1.979991838574477,0.2124101599559631,10,2.1332160411261576,1.9537188026280312,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520132,2026-07-11T11:13:47.374690+00:00,micro,34.6025174269338,5.604668743117227,1.95498334563706,1.1923118384291624,1.9618189890570616,0.2532331593516629,10,2.5431977349201107,3.884849618755045,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520155,2026-07-11T11:13:50.609165+00:00,micro,38.715994957045815,5.231529699807777,1.956201292080252,1.2548197697023311,1.9742539394677512,0.2098712382959743,10,2.1077178803349144,2.001973646130972,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520228,2026-07-11T11:14:59.105254+00:00,micro,36.76603070825671,6.038030178287384,1.9917114073106683,1.2211799038764235,1.9933057471549616,0.2530232553565302,10,2.5410896880658247,3.3263031096893254,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520254,2026-07-11T11:15:03.523751+00:00,micro,33.55461654737816,5.673711576477504,1.9598126903964523,1.1818078235760825,1.981825347353336,0.2417494336416512,10,2.4278677153882358,2.62697397051491,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
520336,2026-07-11T11:16:13.291588+00:00,micro,32.68194595801097,6.631324302076079,1.9722752149864573,1.1807678257802794,1.976809089760356,0.227572265522071,10,2.285487697140988,2.0525748965990345,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192,2.591102915773938,37.006987616697,5.571340752749599,1.998212260631987,1.254996163599713,1.994151908888192
