run_id,variant,with_stabw,best_recipe_T,best_recipe_pH,best_recipe_F1,best_recipe_F2,best_recipe_F3,best_predicted_y_pilot,actual_y_pilot,total_cost,count_micro,count_bench,count_pilot
8,ohne Stabw,0,35.95667328742649,8.15276754185555,0.9522979932479918,0.3213666739767742,1.7002339727235447,24.059972706406267,20.87610941803733,3150.0,115,0,1
8,mit Stabw,1,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,27.45255314368502,17.463774739616536,4130.0,113,2,1
9,ohne Stabw,0,35.95667328742649,8.15276754185555,0.9522979932479918,0.3213666739767742,1.7002339727235447,24.596036839438582,20.879530978000876,3150.0,115,0,1
9,mit Stabw,1,35.971898837866036,7.94968798904215,1.275274533337504,0.15184367017245148,1.833153653450138,25.33131392365377,23.062992039125838,4620.0,112,3,1
10,ohne Stabw,0,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,27.264684971415324,17.47212844607623,3150.0,115,0,1
10,mit Stabw,1,36.23436417970518,8.122278720481074,1.6656989482080156,0.4352767866481808,1.8273272655215405,27.70497933484451,20.72696441496757,5110.0,111,4,1
11,ohne Stabw,0,35.971898837866036,7.94968798904215,1.275274533337504,0.15184367017245148,1.833153653450138,25.42829762525372,23.05048804940433,3150.0,115,0,1
11,mit Stabw,1,35.95667328742649,8.15276754185555,0.9522979932479918,0.3213666739767742,1.7002339727235447,24.198711671832196,20.87890540251158,4620.0,112,3,1
12,ohne Stabw,0,56.51777419464771,8.58229177081358,1.9928330630418392,0.7849985889158826,1.9550297598608093,6.502869763721096,1.9343864766171117,3150.0,115,0,1
12,mit Stabw,1,35.971898837866036,7.94968798904215,1.275274533337504,0.15184367017245148,1.833153653450138,25.23605081508484,23.064468647437966,5110.0,111,4,1
13,ohne Stabw,0,46.144960353339286,3.514045547521656,1.717665052514561,1.0167816480884004,1.990548265874053,6.321485269101282,1.9446256371451955,3150.0,115,0,1
13,mit Stabw,1,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,26.627129099246687,17.480589421279817,5110.0,111,4,1
14,ohne Stabw,0,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,27.273095749029892,17.47104123534961,3150.0,115,0,1
14,mit Stabw,1,36.23436417970518,8.122278720481074,1.6656989482080156,0.4352767866481808,1.8273272655215405,27.95643754793247,20.713041397472743,3150.0,115,0,1
15,ohne Stabw,0,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,27.721215851804832,17.467993699287987,3150.0,115,0,1
15,mit Stabw,1,35.95667328742649,8.15276754185555,0.9522979932479918,0.3213666739767742,1.7002339727235447,24.343072590849978,20.87474644514492,4130.0,113,2,1
16,ohne Stabw,0,35.971898837866036,7.94968798904215,1.275274533337504,0.15184367017245148,1.833153653450138,24.57554878225001,23.062350858904697,3150.0,115,0,1
16,mit Stabw,1,36.01483673020453,8.02232818256713,1.2842297790145132,1.1137440997510428,1.8551928083472216,28.343386296867706,17.478938085488775,4130.0,113,2,1
17,ohne Stabw,0,35.95667328742649,8.15276754185555,0.9522979932479918,0.3213666739767742,1.7002339727235447,24.256519296076107,20.891911274707354,3150.0,115,0,1
17,mit Stabw,1,35.881076016759785,8.22362399875664,0.9169002335443805,0.680775014933731,1.977714344254751,27.303762220789114,19.136159827852044,5110.0,111,4,1
18,ohne Stabw,0,36.23436417970518,8.122278720481074,1.6656989482080156,0.4352767866481808,1.8273272655215405,28.144820182922704,20.713664319474184,3150.0,115,0,1
18,mit Stabw,1,35.64948940340768,8.057055556987887,1.8352702651549389,0.35416425085609426,1.4985483873156389,22.581784035119103,19.455926450101355,4130.0,113,2,1
19,ohne Stabw,0,36.23436417970518,8.122278720481074,1.6656989482080156,0.4352767866481808,1.8273272655215405,28.116818358073665,20.720784289296265,3150.0,115,0,1
19,mit Stabw,1,35.78997911615281,7.79409856457313,1.1118670065309801,1.1366263469838296,1.9163238487240557,22.833800833234886,15.77171362671668,4620.0,112,3,1
